                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.30215,                0.42424,                 1.0276,                0.68088,                0.78122,                0.86861,                 0.7515,                0.64262,                 1.1093,                 1.4544,             5.4275e-05,             5.4275e-05,             5.4275e-05
                    103,                0.30535,                0.43501,                  1.021,                0.69585,                0.78091,                0.87626,                0.76513,                0.62926,                 1.1447,                  1.427,             5.4168e-05,             5.4168e-05,             5.4168e-05
                    104,                0.30429,                0.42061,                 1.0042,                 0.7039,                0.75946,                0.86721,                0.75601,                0.62761,                 1.1266,                 1.4087,              5.406e-05,              5.406e-05,              5.406e-05
                    105,                0.29039,                 0.4013,                 1.0025,                0.78411,                0.70717,                0.86381,                0.75574,                0.61623,                 1.1155,                 1.4065,             5.3953e-05,             5.3953e-05,             5.3953e-05
                    106,                0.28568,                0.42323,                 1.0101,                0.59559,                0.83283,                0.87753,                0.76653,                0.62478,                 1.1145,                 1.3957,             5.3846e-05,             5.3846e-05,             5.3846e-05
                    107,                 0.3026,                0.41468,                 1.0098,                0.69309,                0.79033,                0.88322,                0.76418,                0.66757,                 1.1034,                 1.4699,             5.3739e-05,             5.3739e-05,             5.3739e-05
                    108,                0.29458,                0.41183,                 1.0145,                0.71085,                0.79802,                0.87647,                0.75888,                0.64873,                 1.1338,                  1.445,             5.3631e-05,             5.3631e-05,             5.3631e-05
                    109,                0.28266,                0.40218,                0.99933,                0.74376,                0.77178,                0.88493,                0.76995,                0.64446,                 1.1228,                 1.4735,             5.3524e-05,             5.3524e-05,             5.3524e-05
                    110,                0.28846,                0.40094,                 1.0088,                0.67463,                 0.7744,                0.87742,                0.76062,                 0.6339,                 1.1235,                 1.4256,             5.3417e-05,             5.3417e-05,             5.3417e-05
                    111,                0.29386,                0.38859,                 1.0092,                 0.7511,                0.74577,                0.88607,                0.76906,                0.63968,                 1.1159,                 1.4083,              5.331e-05,              5.331e-05,              5.331e-05
                    112,                0.29659,                0.41525,                 1.0084,                0.68093,                0.79414,                0.89541,                0.77916,                0.63344,                 1.1187,                 1.4238,             5.3202e-05,             5.3202e-05,             5.3202e-05
                    113,                0.28789,                0.38947,                 1.0083,                0.67626,                0.80208,                 0.8857,                0.77269,                0.63114,                 1.0637,                 1.4574,             5.3095e-05,             5.3095e-05,             5.3095e-05
                    114,                 0.2885,                0.39935,                  1.005,                0.63417,                0.82563,                0.88459,                0.75953,                0.66559,                 1.1009,                 1.5436,             5.2988e-05,             5.2988e-05,             5.2988e-05
                    115,                0.28325,                0.39884,                 1.0089,                 0.7157,                0.73578,                0.87751,                0.76996,                0.63015,                 1.1768,                 1.4219,             5.2881e-05,             5.2881e-05,             5.2881e-05
                    116,                 0.2877,                0.38985,                 1.0049,                 0.7386,                0.72014,                0.86319,                0.75024,                0.64742,                 1.1241,                  1.492,             5.2773e-05,             5.2773e-05,             5.2773e-05
                    117,                0.29189,                0.40944,                 1.0141,                0.70146,                0.76265,                0.87611,                0.76693,                0.63876,                 1.1662,                   1.45,             5.2666e-05,             5.2666e-05,             5.2666e-05
                    118,                0.27812,                0.38816,                 1.0061,                0.80783,                0.69888,                0.88638,                0.77042,                0.65337,                 1.0474,                 1.5083,             5.2559e-05,             5.2559e-05,             5.2559e-05
                    119,                0.28647,                0.38206,                0.99959,                0.78114,                0.76836,                0.88868,                0.78129,                0.64092,                 1.0257,                  1.452,             5.2452e-05,             5.2452e-05,             5.2452e-05
                    120,                0.27818,                 0.3906,                0.99851,                0.74569,                0.77422,                0.87944,                0.76863,                0.63291,                 1.0265,                 1.4489,             5.2344e-05,             5.2344e-05,             5.2344e-05
                    121,                0.27766,                0.37447,                 1.0058,                0.76078,                0.76463,                0.87423,                0.77171,                 0.6274,                 1.0556,                 1.4348,             5.2237e-05,             5.2237e-05,             5.2237e-05
                    122,                0.27177,                0.37583,                0.99934,                0.72421,                0.75997,                0.88896,                0.76069,                0.66917,                 1.0487,                 1.5184,              5.213e-05,              5.213e-05,              5.213e-05
                    123,                0.27701,                0.37693,                0.99571,                0.70992,                0.74335,                0.87832,                0.75771,                0.67347,                 1.1073,                 1.5067,             5.2023e-05,             5.2023e-05,             5.2023e-05
                    124,                0.27168,                0.37894,                 1.0045,                0.79793,                0.69682,                0.86824,                0.75558,                0.65312,                 1.1444,                   1.47,             5.1915e-05,             5.1915e-05,             5.1915e-05
                    125,                0.27388,                0.38053,                0.99695,                0.75185,                0.76023,                0.88982,                0.78195,                0.62768,                 1.0383,                 1.3985,             5.1808e-05,             5.1808e-05,             5.1808e-05
                    126,                0.28164,                0.39685,                 1.0007,                0.71471,                0.79427,                0.87479,                0.76086,                0.65577,                 1.0808,                  1.456,             5.1701e-05,             5.1701e-05,             5.1701e-05
                    127,                0.27686,                0.38842,                0.99691,                0.75259,                  0.755,                0.88403,                0.76088,                0.64779,                 1.1171,                 1.4723,             5.1594e-05,             5.1594e-05,             5.1594e-05
                    128,                0.27039,                0.36455,                 1.0004,                0.61687,                0.84166,                0.89323,                0.78149,                0.62573,                 1.0742,                 1.4311,             5.1486e-05,             5.1486e-05,             5.1486e-05
                    129,                0.28408,                0.37552,                  1.011,                0.79795,                0.69372,                0.90354,                0.77888,                0.64734,                 1.0961,                  1.467,             5.1379e-05,             5.1379e-05,             5.1379e-05
                    130,                0.26797,                0.35969,                0.98879,                 0.7468,                0.75165,                0.89211,                0.76848,                0.65026,                 1.0632,                 1.4815,             5.1272e-05,             5.1272e-05,             5.1272e-05
                    131,                0.26577,                0.36149,                0.98825,                0.59528,                0.85925,                0.88992,                 0.7768,                 0.6552,                 1.0771,                 1.4807,             5.1165e-05,             5.1165e-05,             5.1165e-05
